case_id,item,hs_code,regulated,middle,importer,start_month,esr_lag0,esr_lag1,esr_lag2,esr_lag3,esr_min,esr_best_lag,esr_risk,mid_export_sum,imp_export_sum,sr_min,sr_best_lag,sr_risk,same_best_lag,lag_gap
48,도공(coated) 인쇄용지,4810,핀란드,이탈리아,대한민국,2024.03,0.7714285714285715,-0.6,0.0285714285714285,0.2,-0.6,1,0.6,153671156.0,13941698.0,-0.942857142857143,2,0.942857142857143,False,1
35,합판,4412,중국,일본,대한민국,2020.11,0.5428571428571429,-0.2571428571428572,-0.5428571428571429,-0.2571428571428572,-0.5428571428571429,2,0.5428571428571429,264937106.0,55373678.0,-0.942857142857143,1,0.942857142857143,False,1
41,"인쇄제판용 평면모양 사진 플레이트(옵셋 인쇄판, 더블레이어 제품)",370130,중국,미국,대한민국,2022.11,-0.1428571428571428,0.942857142857143,0.1428571428571428,-0.4857142857142857,-0.4857142857142857,3,0.4857142857142857,4526172.0,11492515.946,-0.942857142857143,1,0.942857142857143,False,2
19,PET필름(2차재심),392062,중국,인도네시아,대한민국,2016.01,0.4857142857142857,-0.4285714285714286,0.0857142857142857,-0.1428571428571428,-0.4285714285714286,1,0.4285714285714286,17178673.469,6451302.9520000005,-0.942857142857143,0,0.942857142857143,False,1
50,합판,4412,중국,인도네시아,대한민국,2024.07,0.3714285714285715,-0.2319084142609793,-0.3946648814672956,-0.3718678720805473,-0.3946648814672956,2,0.3946648814672956,17192805.0,43458274.0,-0.942857142857143,1,0.942857142857143,False,1
31,OPP필름(1차재심),392020,중국,베트남,대한민국,2019.08,0.4285714285714286,-0.2,-0.0857142857142857,0.4285714285714286,-0.2,1,0.2,32930009.0,4566782.0,-0.942857142857143,2,0.942857142857143,False,1
2,크라프트지(1차재심),4804,중국,독일,대한민국,2012.04,0.7142857142857143,-0.1159542071304896,0.2125118592516207,0.0910765111078374,-0.1159542071304896,1,0.1159542071304896,73302.0,4055407.0,-0.942857142857143,3,0.942857142857143,False,2
51,합판,4412,말레이시아,라트비아,대한민국,2024.07,0.101418510567422,0.1309307341415954,0.3927922024247863,,0.101418510567422,0,0.0,56938.174,6071785.3440000005,-0.942857142857143,3,0.942857142857143,False,3
35,합판,4412,중국,노르웨이,대한민국,2020.11,0.3714285714285715,0.7714285714285715,-0.1428571428571428,-0.2,-0.2,3,0.2,7322210.0,55373678.0,-0.9411239481143202,3,0.9411239481143202,True,0
1,PET필름(1차재심),392062,인도,이탈리아,대한민국,2012.05,0.7142857142857143,0.4857142857142857,-0.7714285714285715,-0.5428571428571429,-0.7714285714285715,2,0.7714285714285715,9290159.0,483508.0,-0.9276336570439176,3,0.9276336570439176,False,1
2,크라프트지(1차재심),4804,중국,에스토니아,대한민국,2012.04,0.3927922024247863,0.1309307341415954,,,0.1309307341415954,1,0.0,28205.0,4055407.0,-0.9276336570439176,3,0.9276336570439176,False,2
26,PET필름,392062,태국,바레인,대한민국,2018.04,0.3042555317022659,-0.50709255283711,-0.1309307341415954,-0.7775419143502353,-0.7775419143502353,3,0.7775419143502353,104754.0,26677626.0,-0.8986451052612952,2,0.8986451052612952,False,1
