pair_id,사건번호,품목,hs_code,규제국,중간국,수입국,reporter_code,periods,flow_code,isr_min,isr_best_lag,isr_risk,flow_type,partner_code,partner_country
32,10,합판(1차재심),4412,말레이시아,스위스,대한민국,458,"201409,201410,201411,201412,201501,201502,201503,201504,201505",X,-0.9411239481143202,3,0.9411239481143202,regulated_to_intermediary,757,스위스
32,10,합판(1차재심),4412,말레이시아,스위스,대한민국,458,"201409,201410,201411,201412,201501,201502,201503,201504,201505",X,-0.9411239481143202,3,0.9411239481143202,regulated_to_importer,410,대한민국
33,10,합판(1차재심),4412,말레이시아,영국,대한민국,458,"201409,201410,201411,201412,201501,201502,201503,201504,201505",X,-0.9411239481143202,2,0.9411239481143202,regulated_to_intermediary,826,영국
33,10,합판(1차재심),4412,말레이시아,영국,대한민국,458,"201409,201410,201411,201412,201501,201502,201503,201504,201505",X,-0.9411239481143202,2,0.9411239481143202,regulated_to_importer,410,대한민국
34,35,합판,4412,중국,노르웨이,대한민국,156,"202011,202012,202101,202102,202103,202104,202105,202106,202107",X,-0.9411239481143202,3,0.9411239481143202,regulated_to_intermediary,579,노르웨이
34,35,합판,4412,중국,노르웨이,대한민국,156,"202011,202012,202101,202102,202103,202104,202105,202106,202107",X,-0.9411239481143202,3,0.9411239481143202,regulated_to_importer,410,대한민국
35,1,PET필름(1차재심),392062,인도,이탈리아,대한민국,699,"201205,201206,201207,201208,201209,201210,201211,201212,201301",X,-0.9276336570439176,3,0.9276336570439176,regulated_to_intermediary,380,이탈리아
35,1,PET필름(1차재심),392062,인도,이탈리아,대한민국,699,"201205,201206,201207,201208,201209,201210,201211,201212,201301",X,-0.9276336570439176,3,0.9276336570439176,regulated_to_importer,410,대한민국
36,2,크라프트지(1차재심),4804,미국,체코공화국,대한민국,842,"201204,201205,201206,201207,201208,201209,201210,201211,201212",X,-0.9276336570439176,1,0.9276336570439176,regulated_to_intermediary,203,체코공화국
36,2,크라프트지(1차재심),4804,미국,체코공화국,대한민국,842,"201204,201205,201206,201207,201208,201209,201210,201211,201212",X,-0.9276336570439176,1,0.9276336570439176,regulated_to_importer,410,대한민국
37,2,크라프트지(1차재심),4804,중국,에스토니아,대한민국,156,"201204,201205,201206,201207,201208,201209,201210,201211,201212",X,-0.9276336570439176,3,0.9276336570439176,regulated_to_intermediary,233,에스토니아
37,2,크라프트지(1차재심),4804,중국,에스토니아,대한민국,156,"201204,201205,201206,201207,201208,201209,201210,201211,201212",X,-0.9276336570439176,3,0.9276336570439176,regulated_to_importer,410,대한민국
38,14,합판(신규공급자조사),4412,중국,프랑스,대한민국,156,"201402,201403,201404,201405,201406,201407,201408,201409,201410",X,-0.9276336570439176,2,0.9276336570439176,regulated_to_intermediary,251,프랑스
38,14,합판(신규공급자조사),4412,중국,프랑스,대한민국,156,"201402,201403,201404,201405,201406,201407,201408,201409,201410",X,-0.9276336570439176,2,0.9276336570439176,regulated_to_importer,410,대한민국
39,15,합판(신규공급자조사),4412,중국,프랑스,대한민국,156,"201402,201403,201404,201405,201406,201407,201408,201409,201410",X,-0.9276336570439176,2,0.9276336570439176,regulated_to_intermediary,251,프랑스
