pair_id,사건번호,품목,hs_code,년월,규제국,중간국,수입국,flow_type,수출량,수출총달러,isr_min,isr_best_lag,isr_risk
5,2,크라프트지(1차재심),4804,2012.06,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.07,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.08,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.09,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.1,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.11,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.12,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.04,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_importer,317000.0,317003.844,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.05,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_importer,160000.0,161077.259,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.06,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_importer,69000.0,66792.048,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.07,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_importer,204000.0,207911.316,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.08,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_importer,0.0,194.529,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.09,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_importer,129000.0,128157.475,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.1,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_importer,201000.0,209953.89,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.11,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_importer,200000.0,192098.027,-0.9856107606091624,1,0.9856107606091624
5,2,크라프트지(1차재심),4804,2012.12,캐나다,보스니아-헤르체고비나,대한민국,regulated_to_importer,155000.0,162044.263,-0.9856107606091624,1,0.9856107606091624
6,26,PET필름,392062,2018.04,대만,파키스탄,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,0,0.9856107606091624
6,26,PET필름,392062,2018.05,대만,파키스탄,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,0,0.9856107606091624
6,26,PET필름,392062,2018.06,대만,파키스탄,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,0,0.9856107606091624
6,26,PET필름,392062,2018.07,대만,파키스탄,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,0,0.9856107606091624
6,26,PET필름,392062,2018.08,대만,파키스탄,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,0,0.9856107606091624
6,26,PET필름,392062,2018.09,대만,파키스탄,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,0,0.9856107606091624
6,26,PET필름,392062,2018.1,대만,파키스탄,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,0,0.9856107606091624
6,26,PET필름,392062,2018.11,대만,파키스탄,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,0,0.9856107606091624
6,26,PET필름,392062,2018.12,대만,파키스탄,대한민국,regulated_to_intermediary,0.0,0.0,-0.9856107606091624,0,0.9856107606091624
6,26,PET필름,392062,2018.04,대만,파키스탄,대한민국,regulated_to_importer,0.0,0.0,-0.9856107606091624,0,0.9856107606091624
6,26,PET필름,392062,2018.05,대만,파키스탄,대한민국,regulated_to_importer,0.0,0.0,-0.9856107606091624,0,0.9856107606091624
6,26,PET필름,392062,2018.06,대만,파키스탄,대한민국,regulated_to_importer,0.0,0.0,-0.9856107606091624,0,0.9856107606091624
6,26,PET필름,392062,2018.07,대만,파키스탄,대한민국,regulated_to_importer,0.0,0.0,-0.9856107606091624,0,0.9856107606091624
6,26,PET필름,392062,2018.08,대만,파키스탄,대한민국,regulated_to_importer,0.0,0.0,-0.9856107606091624,0,0.9856107606091624
6,26,PET필름,392062,2018.09,대만,파키스탄,대한민국,regulated_to_importer,0.0,0.0,-0.9856107606091624,0,0.9856107606091624
6,26,PET필름,392062,2018.1,대만,파키스탄,대한민국,regulated_to_importer,0.0,0.0,-0.9856107606091624,0,0.9856107606091624
6,26,PET필름,392062,2018.11,대만,파키스탄,대한민국,regulated_to_importer,0.0,0.0,-0.9856107606091624,0,0.9856107606091624
6,26,PET필름,392062,2018.12,대만,파키스탄,대한민국,regulated_to_importer,0.0,0.0,-0.9856107606091624,0,0.9856107606091624
7,2,크라프트지(1차재심),4804,2012.04,미국,스웨덴,대한민국,regulated_to_intermediary,0.0,166787.0,-0.942857142857143,3,0.942857142857143
7,2,크라프트지(1차재심),4804,2012.05,미국,스웨덴,대한민국,regulated_to_intermediary,0.0,48751.0,-0.942857142857143,3,0.942857142857143
7,2,크라프트지(1차재심),4804,2012.06,미국,스웨덴,대한민국,regulated_to_intermediary,0.0,83264.0,-0.942857142857143,3,0.942857142857143
7,2,크라프트지(1차재심),4804,2012.07,미국,스웨덴,대한민국,regulated_to_intermediary,0.0,0.0,-0.942857142857143,3,0.942857142857143
7,2,크라프트지(1차재심),4804,2012.08,미국,스웨덴,대한민국,regulated_to_intermediary,0.0,0.0,-0.942857142857143,3,0.942857142857143
7,2,크라프트지(1차재심),4804,2012.09,미국,스웨덴,대한민국,regulated_to_intermediary,0.0,20515.0,-0.942857142857143,3,0.942857142857143
7,2,크라프트지(1차재심),4804,2012.1,미국,스웨덴,대한민국,regulated_to_intermediary,0.0,19404.0,-0.942857142857143,3,0.942857142857143
7,2,크라프트지(1차재심),4804,2012.11,미국,스웨덴,대한민국,regulated_to_intermediary,0.0,54388.0,-0.942857142857143,3,0.942857142857143
7,2,크라프트지(1차재심),4804,2012.12,미국,스웨덴,대한민국,regulated_to_intermediary,0.0,0.0,-0.942857142857143,3,0.942857142857143
7,2,크라프트지(1차재심),4804,2012.04,미국,스웨덴,대한민국,regulated_to_importer,0.0,3140453.0,-0.942857142857143,3,0.942857142857143
7,2,크라프트지(1차재심),4804,2012.05,미국,스웨덴,대한민국,regulated_to_importer,0.0,5153788.0,-0.942857142857143,3,0.942857142857143
7,2,크라프트지(1차재심),4804,2012.06,미국,스웨덴,대한민국,regulated_to_importer,0.0,4853499.0,-0.942857142857143,3,0.942857142857143
7,2,크라프트지(1차재심),4804,2012.07,미국,스웨덴,대한민국,regulated_to_importer,0.0,4905678.0,-0.942857142857143,3,0.942857142857143
7,2,크라프트지(1차재심),4804,2012.08,미국,스웨덴,대한민국,regulated_to_importer,0.0,5240280.0,-0.942857142857143,3,0.942857142857143
7,2,크라프트지(1차재심),4804,2012.09,미국,스웨덴,대한민국,regulated_to_importer,0.0,4953728.0,-0.942857142857143,3,0.942857142857143
7,2,크라프트지(1차재심),4804,2012.1,미국,스웨덴,대한민국,regulated_to_importer,0.0,4950113.0,-0.942857142857143,3,0.942857142857143
7,2,크라프트지(1차재심),4804,2012.11,미국,스웨덴,대한민국,regulated_to_importer,0.0,4326817.0,-0.942857142857143,3,0.942857142857143
7,2,크라프트지(1차재심),4804,2012.12,미국,스웨덴,대한민국,regulated_to_importer,0.0,5393936.0,-0.942857142857143,3,0.942857142857143
8,2,크라프트지(1차재심),4804,2012.04,중국,독일,대한민국,regulated_to_intermediary,78.0,260.0,-0.942857142857143,3,0.942857142857143
8,2,크라프트지(1차재심),4804,2012.05,중국,독일,대한민국,regulated_to_intermediary,8427.0,21495.0,-0.942857142857143,3,0.942857142857143
8,2,크라프트지(1차재심),4804,2012.06,중국,독일,대한민국,regulated_to_intermediary,0.0,0.0,-0.942857142857143,3,0.942857142857143
8,2,크라프트지(1차재심),4804,2012.07,중국,독일,대한민국,regulated_to_intermediary,40211.0,253859.0,-0.942857142857143,3,0.942857142857143
8,2,크라프트지(1차재심),4804,2012.08,중국,독일,대한민국,regulated_to_intermediary,24100.0,74434.0,-0.942857142857143,3,0.942857142857143
