request_key,status,rows,error
"55|regulated_to_importer|764|410|392062|201804,201805,201806,201807,201808,201809,201810,201811,201812",ok,27,
"56|regulated_to_intermediary|156|158|392020|201908,201909,201910,201911,201912,202001,202002,202003,202004",ok,0,
"56|regulated_to_importer|156|410|392020|201908,201909,201910,201911,201912,202001,202002,202003,202004",ok,9,
"57|regulated_to_intermediary|156|842|392062|201909,201910,201911,201912,202001,202002,202003,202004,202005",ok,9,
"57|regulated_to_importer|156|410|392062|201909,201910,201911,201912,202001,202002,202003,202004,202005",ok,9,
"58|regulated_to_intermediary|156|842|4412|202011,202012,202101,202102,202103,202104,202105,202106,202107",ok,9,
"58|regulated_to_importer|156|410|4412|202011,202012,202101,202102,202103,202104,202105,202106,202107",ok,9,
"59|regulated_to_intermediary|699|276|7222|202101,202102,202103,202104,202105,202106,202107,202108,202109",ok,9,
"59|regulated_to_importer|699|410|7222|202101,202102,202103,202104,202105,202106,202107,202108,202109",ok,9,
"60|regulated_to_intermediary|699|705|7222|202101,202102,202103,202104,202105,202106,202107,202108,202109",ok,9,
"60|regulated_to_importer|699|410|7222|202101,202102,202103,202104,202105,202106,202107,202108,202109",ok,9,
"61|regulated_to_intermediary|392|158|7222|202101,202102,202103,202104,202105,202106,202107,202108,202109",ok,0,
"61|regulated_to_importer|392|410|7222|202101,202102,202103,202104,202105,202106,202107,202108,202109",ok,9,
"62|regulated_to_intermediary|490|608|392062|202112,202201,202202,202203,202204,202205,202206,202207,202208",ok,0,
"62|regulated_to_importer|490|410|392062|202112,202201,202202,202203,202204,202205,202206,202207,202208",ok,0,
"63|regulated_to_intermediary|764|608|392062|202112,202201,202202,202203,202204,202205,202206,202207,202208",ok,43,
"63|regulated_to_importer|764|410|392062|202112,202201,202202,202203,202204,202205,202206,202207,202208",ok,64,
"64|regulated_to_intermediary|156|276|7411|202303,202304,202305,202306,202307,202308,202309,202310,202311",ok,9,
"64|regulated_to_importer|156|410|7411|202303,202304,202305,202306,202307,202308,202309,202310,202311",ok,9,
"65|regulated_to_intermediary|392|554|4810|202403,202404,202405,202406,202407,202408,202409,202410,202411",ok,9,
"65|regulated_to_importer|392|410|4810|202403,202404,202405,202406,202407,202408,202409,202410,202411",ok,9,
"66|regulated_to_intermediary|246|40|4810|202403,202404,202405,202406,202407,202408,202409,202410,202411",ok,18,
"66|regulated_to_importer|246|410|4810|202403,202404,202405,202406,202407,202408,202409,202410,202411",ok,18,
"67|regulated_to_intermediary|392|764|4810|202403,202404,202405,202406,202407,202408,202409,202410,202411",ok,9,
"67|regulated_to_importer|392|410|4810|202403,202404,202405,202406,202407,202408,202409,202410,202411",ok,9,
"68|regulated_to_intermediary|156|428|7005|202204,202205,202206,202207,202208,202209,202210,202211,202212",ok,1,
"68|regulated_to_importer|156|410|7005|202204,202205,202206,202207,202208,202209,202210,202211,202212",ok,9,
"69|regulated_to_intermediary|704|724|4412|202407,202408,202409,202410,202411,202412,202501,202502,202503",ok,0,
"69|regulated_to_importer|704|410|4412|202407,202408,202409,202410,202411,202412,202501,202502,202503",ok,0,
"70|regulated_to_intermediary|490|251|391110|202508,202509,202510,202511,202512,202601,202602,202603,202604",ok,0,
"70|regulated_to_importer|490|410|391110|202508,202509,202510,202511,202512,202601,202602,202603,202604",ok,0,
"71|regulated_to_intermediary|704|608|4412|202011,202012,202101,202102,202103,202104,202105,202106,202107",ok,9,
"71|regulated_to_importer|704|410|4412|202011,202012,202101,202102,202103,202104,202105,202106,202107",ok,9,
"72|regulated_to_intermediary|704|203|7411|202303,202304,202305,202306,202307,202308,202309,202310,202311",ok,12,
"72|regulated_to_importer|704|410|7411|202303,202304,202305,202306,202307,202308,202309,202310,202311",ok,18,
"73|regulated_to_intermediary|699|56|392062|201205,201206,201207,201208,201209,201210,201211,201212,201301",ok,9,
"73|regulated_to_importer|699|410|392062|201205,201206,201207,201208,201209,201210,201211,201212,201301",ok,9,
"74|regulated_to_intermediary|699|757|392062|201205,201206,201207,201208,201209,201210,201211,201212,201301",ok,4,
"74|regulated_to_importer|699|410|392062|201205,201206,201207,201208,201209,201210,201211,201212,201301",ok,9,
"75|regulated_to_intermediary|156|56|392062|201205,201206,201207,201208,201209,201210,201211,201212,201301",ok,5,
"75|regulated_to_importer|156|410|392062|201205,201206,201207,201208,201209,201210,201211,201212,201301",ok,5,
"76|regulated_to_intermediary|156|757|392062|201205,201206,201207,201208,201209,201210,201211,201212,201301",ok,5,
"76|regulated_to_importer|156|410|392062|201205,201206,201207,201208,201209,201210,201211,201212,201301",ok,5,
"77|regulated_to_intermediary|156|76|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,4,
"77|regulated_to_importer|156|410|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,6,
"78|regulated_to_intermediary|392|608|7222|201311,201312,201401,201402,201403,201404,201405,201406,201407",ok,9,
"78|regulated_to_importer|392|410|7222|201311,201312,201401,201402,201403,201404,201405,201406,201407",ok,9,
"79|regulated_to_intermediary|156|858|4412|201311,201312,201401,201402,201403,201404,201405,201406,201407",ok,0,
"79|regulated_to_importer|156|410|4412|201311,201312,201401,201402,201403,201404,201405,201406,201407",ok,0,
"80|regulated_to_intermediary|156|699|4412|201311,201312,201401,201402,201403,201404,201405,201406,201407",ok,0,
"80|regulated_to_importer|156|410|4412|201311,201312,201401,201402,201403,201404,201405,201406,201407",ok,0,
"81|regulated_to_intermediary|156|608|4412|201311,201312,201401,201402,201403,201404,201405,201406,201407",ok,0,
"81|regulated_to_importer|156|410|4412|201311,201312,201401,201402,201403,201404,201405,201406,201407",ok,0,
"82|regulated_to_intermediary|458|112|5402|201312,201401,201402,201403,201404,201405,201406,201407,201408",ok,0,
"82|regulated_to_importer|458|410|5402|201312,201401,201402,201403,201404,201405,201406,201407,201408",ok,8,
"83|regulated_to_intermediary|156|792|392020|201312,201401,201402,201403,201404,201405,201406,201407,201408",ok,0,
"83|regulated_to_importer|156|410|392020|201312,201401,201402,201403,201404,201405,201406,201407,201408",ok,0,
"84|regulated_to_intermediary|764|757|392020|201312,201401,201402,201403,201404,201405,201406,201407,201408",ok,0,
"84|regulated_to_importer|764|410|392020|201312,201401,201402,201403,201404,201405,201406,201407,201408",ok,9,
"85|regulated_to_intermediary|458|702|4412|201409,201410,201411,201412,201501,201502,201503,201504,201505",ok,9,
"85|regulated_to_importer|458|410|4412|201409,201410,201411,201412,201501,201502,201503,201504,201505",ok,9,
"86|regulated_to_intermediary|458|124|4412|201409,201410,201411,201412,201501,201502,201503,201504,201505",ok,8,
"86|regulated_to_importer|458|410|4412|201409,201410,201411,201412,201501,201502,201503,201504,201505",ok,9,
"87|regulated_to_intermediary|156|699|4412|201402,201403,201404,201405,201406,201407,201408,201409,201410",ok,0,
"87|regulated_to_importer|156|410|4412|201402,201403,201404,201405,201406,201407,201408,201409,201410",ok,0,
"88|regulated_to_intermediary|156|699|4412|201402,201403,201404,201405,201406,201407,201408,201409,201410",ok,0,
"88|regulated_to_importer|156|410|4412|201402,201403,201404,201405,201406,201407,201408,201409,201410",ok,0,
"89|regulated_to_intermediary|156|699|4412|201402,201403,201404,201405,201406,201407,201408,201409,201410",ok,0,
"89|regulated_to_importer|156|410|4412|201402,201403,201404,201405,201406,201407,201408,201409,201410",ok,0,
"90|regulated_to_intermediary|392|826|291531|201907,201908,201909,201910,201911,201912,202001,202002,202003",ok,0,
"90|regulated_to_importer|392|410|291531|201907,201908,201909,201910,201911,201912,202001,202002,202003",ok,0,
"91|regulated_to_intermediary|156|710|291531|201907,201908,201909,201910,201911,201912,202001,202002,202003",ok,1,
"91|regulated_to_importer|156|410|291531|201907,201908,201909,201910,201911,201912,202001,202002,202003",ok,6,
"92|regulated_to_intermediary|699|784|392062|201909,201910,201911,201912,202001,202002,202003,202004,202005",ok,9,
"92|regulated_to_importer|699|410|392062|201909,201910,201911,201912,202001,202002,202003,202004,202005",ok,9,
"93|regulated_to_intermediary|704|418|4412|202011,202012,202101,202102,202103,202104,202105,202106,202107",ok,9,
"93|regulated_to_importer|704|410|4412|202011,202012,202101,202102,202103,202104,202105,202106,202107",ok,9,
"94|regulated_to_intermediary|699|372|7222|202101,202102,202103,202104,202105,202106,202107,202108,202109",ok,8,
"94|regulated_to_importer|699|410|7222|202101,202102,202103,202104,202105,202106,202107,202108,202109",ok,9,
"95|regulated_to_intermediary|490|442|392062|202112,202201,202202,202203,202204,202205,202206,202207,202208",ok,0,
"95|regulated_to_importer|490|410|392062|202112,202201,202202,202203,202204,202205,202206,202207,202208",ok,0,
"96|regulated_to_intermediary|490|792|392062|202112,202201,202202,202203,202204,202205,202206,202207,202208",ok,0,
"96|regulated_to_importer|490|410|392062|202112,202201,202202,202203,202204,202205,202206,202207,202208",ok,0,
"97|regulated_to_intermediary|764|442|392062|202112,202201,202202,202203,202204,202205,202206,202207,202208",ok,0,
"97|regulated_to_importer|764|410|392062|202112,202201,202202,202203,202204,202205,202206,202207,202208",ok,64,
"98|regulated_to_intermediary|764|792|392062|202112,202201,202202,202203,202204,202205,202206,202207,202208",ok,26,
"98|regulated_to_importer|764|410|392062|202112,202201,202202,202203,202204,202205,202206,202207,202208",ok,64,
"99|regulated_to_intermediary|156|56|4810|202403,202404,202405,202406,202407,202408,202409,202410,202411",ok,8,
"99|regulated_to_importer|156|410|4810|202403,202404,202405,202406,202407,202408,202409,202410,202411",ok,9,
"100|regulated_to_intermediary|156|724|4810|202403,202404,202405,202406,202407,202408,202409,202410,202411",ok,9,
"100|regulated_to_importer|156|410|4810|202403,202404,202405,202406,202407,202408,202409,202410,202411",ok,9,
"101|regulated_to_intermediary|156|124|4810|202403,202404,202405,202406,202407,202408,202409,202410,202411",ok,9,
"101|regulated_to_importer|156|410|4810|202403,202404,202405,202406,202407,202408,202409,202410,202411",ok,9,
"102|regulated_to_intermediary|458|703|4412|202407,202408,202409,202410,202411,202412,202501,202502,202503",ok,0,
"102|regulated_to_importer|458|410|4412|202407,202408,202409,202410,202411,202412,202501,202502,202503",ok,18,
"103|regulated_to_intermediary|704|703|4412|202407,202408,202409,202410,202411,202412,202501,202502,202503",ok,0,
"103|regulated_to_importer|704|410|4412|202407,202408,202409,202410,202411,202412,202501,202502,202503",ok,0,
"104|regulated_to_intermediary|704|158|7220|202507,202508,202509,202510,202511,202512,202601,202602,202603",ok,0,
"104|regulated_to_importer|704|410|7220|202507,202508,202509,202510,202511,202512,202601,202602,202603",ok,0,
"105|regulated_to_intermediary|360|276|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,0,
"105|regulated_to_importer|360|410|4804|201204,201205,201206,201207,201208,201209,201210,201211,201212",ok,0,
"106|regulated_to_intermediary|682|392|290943|202209,202210,202211,202212,202301,202302,202303,202304,202305",ok,1,
"106|regulated_to_importer|682|410|290943|202209,202210,202211,202212,202301,202302,202303,202304,202305",ok,9,
"107|regulated_to_intermediary|392|842|291531|201203,201204,201205,201206,201207,201208,201209,201210,201211",ok,0,
"107|regulated_to_importer|392|410|291531|201203,201204,201205,201206,201207,201208,201209,201210,201211",ok,1,
"108|regulated_to_intermediary|156|276|441232|201603,201604,201605,201606,201607,201608,201609,201610,201611",ok,9,
"108|regulated_to_importer|156|410|441232|201603,201604,201605,201606,201607,201608,201609,201610,201611",ok,9,
"109|regulated_to_intermediary|490|344|392062|201804,201805,201806,201807,201808,201809,201810,201811,201812",ok,0,
"109|regulated_to_importer|490|410|392062|201804,201805,201806,201807,201808,201809,201810,201811,201812",ok,0,
"110|regulated_to_intermediary|392|251|7222|202005,202006,202007,202008,202009,202010,202011,202012,202101",ok,2,
"110|regulated_to_importer|392|410|7222|202005,202006,202007,202008,202009,202010,202011,202012,202101",ok,9,
"111|regulated_to_intermediary|156|158|390761|202411,202412,202501,202502,202503,202504,202505,202506,202507",ok,0,
"111|regulated_to_importer|156|410|390761|202411,202412,202501,202502,202503,202504,202505,202506,202507",ok,2,
"112|regulated_to_intermediary|36|203|281830|202304,202305,202306,202307,202308,202309,202310,202311,202312",ok,0,
"112|regulated_to_importer|36|410|281830|202304,202305,202306,202307,202308,202309,202310,202311,202312",ok,4,
"113|regulated_to_intermediary|392|528|4810|202403,202404,202405,202406,202407,202408,202409,202410,202411",ok,9,
