사건번호,품목,hs_code,규제국,후보국,분석시작월,sr_min,sr_best_lag,sr_risk
8,폴리에스테르 장섬유 연신가공사(2차재심),5402,대만,스페인,2013.12,-0.8285714285714287,3,0.8285714285714287
8,폴리에스테르 장섬유 연신가공사(2차재심),5402,중국,스위스,2013.12,-0.8285714285714287,0,0.8285714285714287
8,폴리에스테르 장섬유 연신가공사(2차재심),5402,중국,캐나다,2013.12,-0.8285714285714287,3,0.8285714285714287
9,OPP필름,392020,인도네시아,일본,2013.12,-0.8285714285714287,2,0.8285714285714287
9,OPP필름,392020,태국,프랑스,2013.12,-0.8285714285714287,1,0.8285714285714287
14,합판(신규공급자조사),4412,중국,인도네시아,2014.02,-0.8285714285714287,2,0.8285714285714287
15,합판(신규공급자조사),4412,중국,인도네시아,2014.02,-0.8285714285714287,2,0.8285714285714287
16,합판(신규공급자조사),4412,중국,인도네시아,2014.02,-0.8285714285714287,2,0.8285714285714287
17,초산에틸(2차재심),291531,일본,미국,2015.11,-0.8285714285714287,2,0.8285714285714287
22,합판(2차재심),4412,말레이시아,일본,2017.05,-0.8285714285714287,1,0.8285714285714287
26,PET필름,392062,태국,일본,2018.04,-0.8285714285714287,0,0.8285714285714287
32,PET필름(3차재심),392062,중국,일본,2019.09,-0.8285714285714287,1,0.8285714285714287
33,스테인리스 스틸바,7222,일본,대만,2020.05,-0.8285714285714287,3,0.8285714285714287
34,합판,4412,말레이시아,라트비아,2020.11,-0.8285714285714287,3,0.8285714285714287
36,합판,4412,베트남,중국,2020.11,-0.8285714285714287,2,0.8285714285714287
37,스테인리스스틸바,7222,일본,우크라이나,2021.01,-0.8285714285714287,2,0.8285714285714287
40,플로트판유리,7005,중국,인도네시아,2022.04,-0.8285714285714287,3,0.8285714285714287
41,"인쇄제판용 평면모양 사진 플레이트(옵셋 인쇄판, 더블레이어 제품)",370130,중국,홍콩,2022.11,-0.8285714285714287,2,0.8285714285714287
44,이음매없는동관,7411,중국,미국,2023.03,-0.8285714285714287,1,0.8285714285714287
48,도공(coated) 인쇄용지,4810,핀란드,대만,2024.03,-0.8285714285714287,2,0.8285714285714287
53,PET수지,390761,중국,이스라엘,2024.11,-0.8285714285714287,3,0.8285714285714287
54,OPP필름,392020,중국,독일,2025.04,-0.8285714285714287,1,0.8285714285714287
54,OPP필름,392020,중국,말레이시아,2025.04,-0.8285714285714287,1,0.8285714285714287
54,OPP필름,392020,태국,인도,2025.04,-0.8285714285714287,1,0.8285714285714287
56,석유수지,391110,대만,네덜란드,2025.08,-0.8285714285714287,2,0.8285714285714287
0,초산에틸(1차재심),291531,일본,이탈리아,2012.03,-0.8280786712108252,3,0.8280786712108252
47,페로실리코망간,720230,베트남,노르웨이,2023.07,-0.8280786712108252,1,0.8280786712108252
55,스테인리스강 냉간압연제품,7220,베트남,루마니아,2025.07,-0.8280786712108252,3,0.8280786712108252
56,석유수지,391110,대만,베트남,2025.08,-0.8280786712108252,3,0.8280786712108252
56,석유수지,391110,중국,베트남,2025.08,-0.8280786712108252,3,0.8280786712108252
9,OPP필름,392020,중국,오스트리아,2013.12,-0.8196885999705371,0,0.8196885999705371
54,OPP필름,392020,태국,불가리아,2025.04,-0.8196885999705371,2,0.8196885999705371
54,OPP필름,392020,태국,튀르키예,2025.04,-0.8196885999705371,2,0.8196885999705371
2,크라프트지(1차재심),4804,미국,보스니아-헤르체고비나,2012.04,-0.8116794499134279,1,0.8116794499134279
9,OPP필름,392020,중국,이탈리아,2013.12,-0.8116794499134279,3,0.8116794499134279
13,공기압 전송용 밸브,848120,일본,싱가포르,2015.08,-0.8116794499134279,3,0.8116794499134279
14,합판(신규공급자조사),4412,중국,오스트리아,2014.02,-0.8116794499134279,2,0.8116794499134279
15,합판(신규공급자조사),4412,중국,오스트리아,2014.02,-0.8116794499134279,2,0.8116794499134279
16,합판(신규공급자조사),4412,중국,오스트리아,2014.02,-0.8116794499134279,2,0.8116794499134279
32,PET필름(3차재심),392062,중국,이탈리아,2019.09,-0.8116794499134279,1,0.8116794499134279
35,합판,4412,중국,필리핀,2020.11,-0.8116794499134279,2,0.8116794499134279
50,합판,4412,중국,이탈리아,2024.07,-0.8116794499134279,1,0.8116794499134279
59,탄소강과 그밖의 합금강 열간압연 후판제품,7208,중국,아르헨티나,2025.11,-0.8116794499134279,0,0.8116794499134279
6,스테인레스스틸바(2차재심),7222,스페인,네덜란드,2013.11,-0.8116794499134278,0,0.8116794499134278
6,스테인레스스틸바(2차재심),7222,스페인,베트남,2013.11,-0.8116794499134278,1,0.8116794499134278
6,스테인레스스틸바(2차재심),7222,스페인,노르웨이,2013.11,-0.7826908981308054,3,0.7826908981308054
8,폴리에스테르 장섬유 연신가공사(2차재심),5402,말레이시아,홍콩,2013.12,-0.7826908981308054,2,0.7826908981308054
0,초산에틸(1차재심),291531,중국,스페인,2012.03,-0.7775419143502353,0,0.7775419143502353
2,크라프트지(1차재심),4804,중국,스페인,2012.04,-0.7775419143502353,2,0.7775419143502353
2,크라프트지(1차재심),4804,캐나다,홍콩,2012.04,-0.7775419143502353,0,0.7775419143502353
8,폴리에스테르 장섬유 연신가공사(2차재심),5402,대만,벨라루스,2013.12,-0.7775419143502353,1,0.7775419143502353
9,OPP필름,392020,인도네시아,호주,2013.12,-0.7775419143502353,2,0.7775419143502353
10,합판(1차재심),4412,말레이시아,슬로베니아,2014.09,-0.7775419143502353,1,0.7775419143502353
13,공기압 전송용 밸브,848120,일본,말레이시아,2015.08,-0.7775419143502353,1,0.7775419143502353
14,합판(신규공급자조사),4412,중국,포루투갈,2014.02,-0.7775419143502353,2,0.7775419143502353
15,합판(신규공급자조사),4412,중국,포루투갈,2014.02,-0.7775419143502353,2,0.7775419143502353
16,합판(신규공급자조사),4412,중국,포루투갈,2014.02,-0.7775419143502353,2,0.7775419143502353
19,PET필름(2차재심),392062,중국,이스라엘,2016.01,-0.7775419143502353,0,0.7775419143502353
19,PET필름(2차재심),392062,중국,필리핀,2016.01,-0.7775419143502353,3,0.7775419143502353
24,옵셋인쇄판,370130,중국,스페인,2017.09,-0.7775419143502353,3,0.7775419143502353
26,PET필름,392062,태국,스페인,2018.04,-0.7775419143502353,3,0.7775419143502353
28,플로트판유리(3차재심),7005,중국,인도,2018.08,-0.7775419143502353,2,0.7775419143502353
29,초산에틸(3차재심),291531,중국,스페인,2019.07,-0.7775419143502353,2,0.7775419143502353
32,PET필름(3차재심),392062,인도,폴란드,2019.09,-0.7775419143502353,1,0.7775419143502353
37,스테인리스스틸바,7222,일본,노르웨이,2021.01,-0.7775419143502353,2,0.7775419143502353
37,스테인리스스틸바,7222,일본,덴마크,2021.01,-0.7775419143502353,1,0.7775419143502353
44,이음매없는동관,7411,중국,폴란드,2023.03,-0.7775419143502353,1,0.7775419143502353
50,합판,4412,중국,스웨덴,2024.07,-0.7775419143502353,1,0.7775419143502353
51,합판,4412,말레이시아,독일,2024.07,-0.7775419143502353,2,0.7775419143502353
52,합판,4412,베트남,독일,2024.07,-0.7775419143502353,2,0.7775419143502353
53,PET수지,390761,중국,스웨덴,2024.11,-0.7775419143502353,2,0.7775419143502353
56,석유수지,391110,대만,독일,2025.08,-0.7775419143502353,3,0.7775419143502353
56,석유수지,391110,중국,독일,2025.08,-0.7775419143502353,3,0.7775419143502353
59,탄소강과 그밖의 합금강 열간압연 후판제품,7208,중국,이탈리아,2025.11,-0.7775419143502353,0,0.7775419143502353
59,탄소강과 그밖의 합금강 열간압연 후판제품,7208,중국,폴란드,2025.11,-0.7775419143502353,0,0.7775419143502353
0,초산에틸(1차재심),291531,중국,영국,2012.03,-0.7715167498104596,1,0.7715167498104596
0,초산에틸(1차재심),291531,일본,인도,2012.03,-0.7714285714285715,0,0.7714285714285715
1,PET필름(1차재심),392062,인도,미국,2012.05,-0.7714285714285715,3,0.7714285714285715
1,PET필름(1차재심),392062,중국,대만,2012.05,-0.7714285714285715,3,0.7714285714285715
2,크라프트지(1차재심),4804,중국,일본,2012.04,-0.7714285714285715,3,0.7714285714285715
2,크라프트지(1차재심),4804,중국,폴란드,2012.04,-0.7714285714285715,2,0.7714285714285715
4,알루미늄 보틀캔,761290,일본,프랑스,2013.01,-0.7714285714285715,3,0.7714285714285715
6,스테인레스스틸바(2차재심),7222,일본,싱가포르,2013.11,-0.7714285714285715,0,0.7714285714285715
8,폴리에스테르 장섬유 연신가공사(2차재심),5402,말레이시아,독일,2013.12,-0.7714285714285715,1,0.7714285714285715
8,폴리에스테르 장섬유 연신가공사(2차재심),5402,말레이시아,베트남,2013.12,-0.7714285714285715,2,0.7714285714285715
8,폴리에스테르 장섬유 연신가공사(2차재심),5402,말레이시아,스위스,2013.12,-0.7714285714285715,1,0.7714285714285715
8,폴리에스테르 장섬유 연신가공사(2차재심),5402,말레이시아,싱가포르,2013.12,-0.7714285714285715,3,0.7714285714285715
8,폴리에스테르 장섬유 연신가공사(2차재심),5402,중국,독일,2013.12,-0.7714285714285715,0,0.7714285714285715
9,OPP필름,392020,인도네시아,영국,2013.12,-0.7714285714285715,0,0.7714285714285715
10,합판(1차재심),4412,말레이시아,태국,2014.09,-0.7714285714285715,2,0.7714285714285715
11,두꺼운 PET필름,392062,일본,독일,2014.12,-0.7714285714285715,1,0.7714285714285715
11,두꺼운 PET필름,392062,일본,영국,2014.12,-0.7714285714285715,1,0.7714285714285715
13,공기압 전송용 밸브,848120,일본,네덜란드,2015.08,-0.7714285714285715,1,0.7714285714285715
13,공기압 전송용 밸브,848120,일본,슬로바키아,2015.08,-0.7714285714285715,3,0.7714285714285715
13,공기압 전송용 밸브,848120,일본,튀르키예,2015.08,-0.7714285714285715,3,0.7714285714285715
14,합판(신규공급자조사),4412,중국,대만,2014.02,-0.7714285714285715,2,0.7714285714285715
15,합판(신규공급자조사),4412,중국,대만,2014.02,-0.7714285714285715,2,0.7714285714285715
16,합판(신규공급자조사),4412,중국,대만,2014.02,-0.7714285714285715,2,0.7714285714285715
31,OPP필름(1차재심),392020,인도네시아,베트남,2019.08,-0.7714285714285715,2,0.7714285714285715
