사건번호,국가,품목,hs_code,년월,수입량,수입총달러,단가,관세부과범위,부과시작일,부과종료일,규제국목록,규제국여부
0,영국,초산에틸(1차재심),291531,2012.11,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,영국,초산에틸(1차재심),291531,2012.12,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,영국,초산에틸(1차재심),291531,2013.01,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,영국,초산에틸(1차재심),291531,2013.02,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,이탈리아,초산에틸(1차재심),291531,2012.03,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,이탈리아,초산에틸(1차재심),291531,2012.04,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,이탈리아,초산에틸(1차재심),291531,2012.05,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,이탈리아,초산에틸(1차재심),291531,2012.06,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,이탈리아,초산에틸(1차재심),291531,2012.07,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,이탈리아,초산에틸(1차재심),291531,2012.08,600.0,1290.0,2.15,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,이탈리아,초산에틸(1차재심),291531,2012.09,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,이탈리아,초산에틸(1차재심),291531,2012.10,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,이탈리아,초산에틸(1차재심),291531,2012.11,600.0,1290.0,2.15,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,이탈리아,초산에틸(1차재심),291531,2012.12,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,이탈리아,초산에틸(1차재심),291531,2013.01,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,이탈리아,초산에틸(1차재심),291531,2013.02,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,인도,초산에틸(1차재심),291531,2012.03,214400.0,232430.0,1.0840951492537314,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,인도,초산에틸(1차재심),291531,2012.04,1051221.0,1196687.0,1.1383781336179548,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,인도,초산에틸(1차재심),291531,2012.05,1601770.0,1666127.0,1.0401786773381947,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,인도,초산에틸(1차재심),291531,2012.06,0.0,0.0,,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,인도,초산에틸(1차재심),291531,2012.07,940146.0,977134.0,1.039342825476043,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,인도,초산에틸(1차재심),291531,2012.08,300000.0,312280.0,1.0409333333333333,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,인도,초산에틸(1차재심),291531,2012.09,669975.0,635139.0,0.9480040300011194,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,인도,초산에틸(1차재심),291531,2012.10,300000.0,284856.0,0.94952,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,인도,초산에틸(1차재심),291531,2012.11,800000.0,770481.0,0.96310125,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,인도,초산에틸(1차재심),291531,2012.12,706867.0,681906.0,0.9646878408526639,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,인도,초산에틸(1차재심),291531,2013.01,2238578.0,2182329.0,0.9748728880566145,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,인도,초산에틸(1차재심),291531,2013.02,774963.0,744357.0,0.9605065016007216,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",False
0,일본,초산에틸(1차재심),291531,2012.03,639.0,5656.0,8.85133020344288,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",True
0,일본,초산에틸(1차재심),291531,2012.04,158.0,1076.0,6.810126582278481,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",True
0,일본,초산에틸(1차재심),291531,2012.05,4.0,80.0,20.0,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",True
0,일본,초산에틸(1차재심),291531,2012.06,298.0,3654.0,12.261744966442953,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",True
0,일본,초산에틸(1차재심),291531,2012.07,169.0,1793.0,10.609467455621301,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",True
0,일본,초산에틸(1차재심),291531,2012.08,9.0,134.0,14.88888888888889,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",True
0,일본,초산에틸(1차재심),291531,2012.09,198.0,2823.0,14.257575757575758,3.14~14.17,2012-03-27,2015-03-26,"중국,싱가포르,일본",True
